filename, x_i, y_i, x_f, y_f
./test/1, 0, 85, 6, 86
./test/1, 0, 86, 6, 87
./test/1, 0, 87, 6, 89
./test/1, 0, 88, 6, 90
./test/1, 0, 89, 6, 92
./test/1, 0, 90, 6, 93
./test/1, 0, 91, 6, 95
./test/1, 0, 92, 6, 96
./test/1, 0, 93, 6, 98
./test/1, 0, 94, 6, 99
./test/1, 0, 95, 6, 101
./test/1, 0, 96, 6, 102
./test/1, 0, 97, 6, 104
./test/1, 0, 98, 6, 105
./test/1, 0, 99, 6, 107
./test/1, 0, 100, 6, 108
./test/1, 0, 101, 6, 110
./test/1, 0, 102, 6, 111
./test/1, 1, 27, 6, 0
./test/1, 1, 28, 6, 1
./test/1, 1, 29, 6, 3
./test/1, 1, 30, 6, 4
./test/1, 1, 31, 6, 5
./test/1, 1, 32, 6, 7
./test/1, 1, 33, 6, 8
./test/1, 1, 34, 6, 10
./test/1, 1, 35, 6, 11
./test/1, 1, 36, 6, 13
./test/1, 1, 37, 6, 14
./test/1, 1, 38, 6, 16
./test/1, 1, 39, 6, 17
./test/1, 1, 40, 6, 19
./test/1, 1, 41, 6, 20
./test/1, 1, 42, 6, 22
./test/1, 1, 43, 6, 23
./test/1, 1, 44, 6, 25
./test/1, 1, 45, 6, 26
./test/1, 1, 46, 6, 28
./test/1, 1, 47, 6, 29
./test/1, 1, 48, 6, 31
./test/1, 1, 49, 6, 32
./test/1, 1, 50, 6, 34
./test/1, 1, 51, 6, 35
./test/1, 1, 52, 6, 37
./test/1, 1, 53, 6, 38
./test/1, 1, 54, 6, 40
./test/1, 1, 55, 6, 41
./test/1, 1, 56, 6, 43
./test/1, 1, 57, 6, 44
./test/1, 1, 58, 6, 46
./test/1, 1, 59, 6, 47
./test/1, 1, 60, 6, 49
./test/1, 1, 61, 7, 50
./test/1, 1, 62, 7, 52
./test/1, 1, 63, 7, 53
./test/1, 1, 64, 7, 55
./test/1, 1, 65, 7, 56
./test/1, 1, 66, 7, 58
./test/1, 1, 67, 7, 59
./test/1, 1, 68, 7, 61
./test/1, 1, 69, 7, 62
./test/1, 1, 70, 7, 64
./test/1, 1, 71, 7, 65
./test/1, 1, 72, 7, 67
./test/1, 1, 73, 7, 68
./test/1, 1, 74, 7, 69
./test/1, 1, 75, 7, 71
./test/1, 1, 76, 7, 72
./test/1, 1, 77, 7, 74
./test/1, 1, 78, 7, 75
./test/1, 1, 79, 7, 77
./test/1, 1, 80, 7, 78
./test/1, 1, 81, 7, 80
./test/1, 1, 82, 7, 81
./test/1, 1, 83, 7, 83
./test/1, 1, 84, 7, 84
./test/1, 1, 85, 7, 86
./test/1, 1, 86, 7, 87
./test/1, 1, 87, 7, 89
./test/1, 1, 88, 7, 90
./test/1, 1, 89, 7, 92
./test/1, 1, 90, 7, 93
./test/1, 1, 91, 7, 95
./test/1, 1, 92, 7, 96
./test/1, 1, 93, 7, 98
./test/1, 1, 94, 7, 99
./test/1, 1, 95, 7, 101
./test/1, 1, 96, 7, 102
./test/1, 1, 97, 7, 104
./test/1, 1, 98, 7, 105
./test/1, 1, 99, 7, 107
./test/1, 1, 100, 7, 108
./test/1, 1, 101, 7, 110
./test/1, 1, 102, 7, 111
./test/1, 2, 27, 7, 0
./test/1, 2, 28, 7, 1
./test/1, 2, 29, 7, 3
./test/1, 2, 30, 7, 4
./test/1, 2, 31, 7, 6
./test/1, 2, 32, 7, 7
./test/1, 2, 33, 7, 9
./test/1, 2, 34, 7, 10
./test/1, 2, 35, 7, 11
./test/1, 2, 36, 7, 13
./test/1, 2, 37, 7, 14
./test/1, 2, 38, 7, 16
./test/1, 2, 39, 7, 17
./test/1, 2, 40, 7, 19
./test/1, 2, 41, 7, 20
./test/1, 2, 42, 7, 22
./test/1, 2, 43, 7, 23
./test/1, 2, 44, 7, 25
./test/1, 2, 45, 7, 26
./test/1, 2, 46, 7, 28
./test/1, 2, 47, 7, 29
./test/1, 2, 48, 7, 31
./test/1, 2, 49, 7, 32
./test/1, 2, 50, 7, 34
./test/1, 2, 51, 7, 35
./test/1, 2, 52, 7, 37
./test/1, 2, 53, 7, 38
./test/1, 2, 54, 7, 40
./test/1, 2, 55, 7, 41
./test/1, 2, 56, 7, 43
./test/1, 2, 57, 7, 44
./test/1, 2, 58, 7, 46
./test/1, 2, 59, 7, 47
./test/1, 2, 60, 7, 49
./test/1, 2, 61, 7, 50
./test/1, 2, 62, 7, 52
./test/1, 2, 63, 7, 53
./test/1, 2, 64, 7, 55
./test/1, 2, 65, 7, 56
./test/1, 2, 66, 8, 58
./test/1, 2, 67, 8, 59
./test/1, 2, 68, 8, 61
./test/1, 2, 69, 8, 62
./test/1, 2, 70, 8, 64
./test/1, 2, 71, 8, 65
./test/1, 2, 72, 8, 67
./test/1, 2, 73, 8, 68
./test/1, 2, 74, 8, 70
./test/1, 2, 75, 8, 71
./test/1, 2, 76, 8, 73
./test/1, 2, 77, 8, 74
./test/1, 2, 78, 8, 75
./test/1, 2, 79, 8, 77
./test/1, 2, 80, 8, 78
./test/1, 2, 81, 8, 80
./test/1, 2, 82, 8, 81
./test/1, 2, 83, 8, 83
./test/1, 2, 84, 8, 84
./test/1, 2, 85, 8, 86
./test/1, 2, 86, 8, 87
./test/1, 2, 87, 8, 89
./test/1, 2, 88, 8, 90
./test/1, 2, 89, 8, 92
./test/1, 2, 90, 8, 93
./test/1, 2, 91, 8, 95
./test/1, 2, 92, 8, 96
./test/1, 2, 93, 8, 98
./test/1, 2, 94, 8, 99
./test/1, 2, 95, 8, 101
./test/1, 2, 96, 8, 102
./test/1, 2, 97, 8, 104
./test/1, 2, 98, 8, 105
./test/1, 2, 99, 8, 107
./test/1, 2, 100, 8, 108
./test/1, 2, 101, 8, 110
